checklist,checklist_id,section,section_id,checkpoint_id,checkpoint,type,unit,critical,photo_for_record,guidance
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-knob-tube,Knob-and-tube or unsafe wiring identified and cleared before insulating,yesno,,yes,,No insulation buried over active knob-and-tube. Document the electrician sign-off.
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-junction-boxes,"All junction boxes accessible, covered, and not buried in insulation",yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-can-lights,Recessed lights are IC-rated or fitted with approved airtight covers,yesno,,yes,,
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-chimney,Chimney and flue chases dammed with fire-rated material and high-temp sealant,yesno,,yes,,"Sheet metal plus high-temp caulk, correct clearance to combustibles."
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-moisture,"No active moisture, mold, or roof leaks in the work area",yesno,,yes,,Insulating over a wet deck buries the problem. Stop and report.
Home Performance — Insulation & Air Sealing,home-performance,Preparation & Safety,hp-prep,hp-pre-photos,Pre-existing conditions photographed before work started,yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-top-plates,"Top plates, wire and pipe penetrations sealed at the attic floor",yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-chases,"Open chases, soffits, and dropped ceilings capped and sealed",yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-attic-hatch,"Attic hatch or scuttle insulated, weatherstripped, and dammed",yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-rim-joist,Rim / band joist air sealed and insulated to spec,yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-duct-sealing,Accessible ductwork sealed with mastic at all joints and boots,yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-bath-fans,"Bath and kitchen exhaust fans ducted to the exterior, never into the attic",yesno,,yes,,
Home Performance — Insulation & Air Sealing,home-performance,Air Sealing,hp-air-sealing,hp-basement-sill,Sill plate and foundation-to-framing joint sealed,yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-r-value,Installed R-value matches the contracted specification,yesno,,yes,,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-depth-markers,Depth markers installed and readable; coverage is even with no voids,yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-baffles,Baffles installed at every eave; soffit ventilation is not blocked,yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-kneewall,Kneewalls insulated and air sealed with rigid backing on the attic side,yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-dense-pack,Dense-pack sidewall cavities filled to target density with no settling voids,yesno,,,,Verify by feel and by bag count against square footage.
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-plugs,"Drill holes plugged, patched, and finished to match the existing siding",yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Insulation Installation,hp-insulation,hp-clearances,"Required clearances maintained at flues, heat-producing fixtures, and equipment",yesno,,yes,,
Home Performance — Insulation & Air Sealing,home-performance,Crawlspace & Basement,hp-crawl,hp-vapor-barrier,"Vapor barrier covers full floor, seams overlapped and sealed, run up the walls",yesno,,,yes,
Home Performance — Insulation & Air Sealing,home-performance,Crawlspace & Basement,hp-crawl,hp-wall-insulation,Foundation walls insulated per spec with required termite inspection gap,yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Crawlspace & Basement,hp-crawl,hp-vents,Vents sealed or left open per the design; approach matches the scope,yesno,,,,
Home Performance — Insulation & Air Sealing,home-performance,Crawlspace & Basement,hp-crawl,hp-drainage,No standing water; drainage and sump function verified,yesno,,yes,,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-blower-door,Post-work blower door test performed and results documented,yesno,,yes,yes,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-cfm-pre,Pre-work CFM50,measurement,CFM50,,,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-cfm-post,Post-work CFM50,measurement,CFM50,,,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-ach50,Post-work ACH50,measurement,ACH50,,,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-bpi-safety,"Combustion safety test (draft, spillage, ambient CO) passed after air sealing",yesno,,yes,yes,Worst-case depressurization test on every atmospheric appliance.
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-ambient-co,Highest ambient CO reading,measurement,ppm,,,
Home Performance — Insulation & Air Sealing,home-performance,Testing & Verification,hp-testing,hp-ventilation-check,Whole-house ventilation still adequate for the tightened envelope,yesno,,yes,,"If the house went below the ventilation threshold, mechanical ventilation is required."
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-model,Unit model matches the design and is sized for the home,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-mounting,"Unit mounted level and securely, with service clearance for filter and core access",yesno,,,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-condensate,"Condensate drain installed, trapped per manufacturer, and flow tested with water",yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-intake-location,"Fresh air intake meets required separation from exhausts, flues, and contamination sources",yesno,,yes,yes,"Check distances to dryer vents, plumbing stacks, driveways, and combustion terminations."
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-hoods,"Exterior hoods fitted with screens and backdraft dampers, sealed and flashed at the wall",yesno,,,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-duct-insulation,Ducts in unconditioned space are insulated and vapor sealed against condensation,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-duct-runs,"Duct runs supported, no kinks, crushed sections, or excess flex",yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-balancing,Supply and exhaust airflows measured and balanced within manufacturer tolerance,yesno,,yes,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-supply-cfm,Measured supply airflow,measurement,CFM,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-exhaust-cfm,Measured exhaust airflow,measurement,CFM,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,ERV / HRV Installation,iaq-erv,iaq-ventilation-rate,Delivered ventilation rate meets the ASHRAE 62.2 target for this home,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Exhaust Ventilation,iaq-exhaust,iaq-bath-fans,Bath fans deliver rated airflow and are quiet at the specified sone level,yesno,,,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Exhaust Ventilation,iaq-exhaust,iaq-fan-controls,"Fan switches, timers, or humidistats installed, labeled, and functioning",yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Exhaust Ventilation,iaq-exhaust,iaq-dryer,Dryer and range exhaust terminate outdoors with no lint or grease restriction,yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Exhaust Ventilation,iaq-exhaust,iaq-makeup-air,Makeup air provided where required by the exhaust load,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-filter-cabinet,"Media cabinet correctly sized, airtight, and installed in the right airflow direction",yesno,,,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-filter-access,Filter is accessible without tools; size and change interval labeled at the unit,yesno,,,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-static-pressure,Total external static pressure with the new filter is within equipment limits,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-tesp,Total external static pressure,measurement,in. w.c.,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-bypass,No air bypasses the filter — cabinet and return joints are sealed,yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Filtration & Air Cleaning,iaq-filtration,iaq-uv,UV or air purification equipment installed per manufacturer with safety interlocks,yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Humidity Control,iaq-humidity,iaq-dehu-mount,Dehumidifier mounted level with required clearance and vibration isolation,yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Humidity Control,iaq-humidity,iaq-dehu-drain,"Dehumidifier drain sloped and trapped, or condensate pump wired with safety switch",yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Humidity Control,iaq-humidity,iaq-dehu-duct,Ducted dehumidifier tie-ins do not short-cycle or pressurize the return incorrectly,yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Humidity Control,iaq-humidity,iaq-humidifier,"Humidifier (if installed) has a working humidistat, drain, and bypass damper set for season",yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Humidity Control,iaq-humidity,iaq-rh,Indoor relative humidity at time of inspection,measurement,% RH,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Commissioning & Handoff,iaq-commissioning,iaq-controls,"Ventilation schedule and setpoints programmed for this home, not left at defaults",yesno,,yes,yes,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Commissioning & Handoff,iaq-commissioning,iaq-depressurization,Combustion appliances re-tested for backdraft with all exhaust running at worst case,yesno,,yes,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Commissioning & Handoff,iaq-commissioning,iaq-monitor,"IAQ monitor (if supplied) placed, connected, and reading plausible values",yesno,,,,
"Indoor Air Quality — Ventilation, Filtration & Humidity",indoor-air-quality,Commissioning & Handoff,iaq-commissioning,iaq-customer,"Customer shown how to run, service, and seasonally adjust the ventilation system",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-model-match,Outdoor unit model matches the Manual J load calculation and the sold proposal,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-pad,"Unit level on a solid pad or wall bracket, elevated above expected snow depth",yesno,,yes,yes,Hyper-heat units run in deep winter — base must stay clear of drifting and meltwater.
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-clearances,Manufacturer service and airflow clearances met on all sides and above,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-isolation,"Vibration isolation pads installed; unit secured against wind, seismic, or snow load as required",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-drainage,Defrost meltwater drains away freely and will not ice under the unit or on a walkway,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-pan-heater,Base pan heater installed and wired where the application requires it,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Outdoor Unit,md-outdoor,md-roof-drip,Unit not located under a roof drip line or icicle fall path,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-line-size,Line set diameter and total length are within manufacturer limits for this pairing,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-nitrogen,Nitrogen purge used during all brazing,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-flares,"Flares cut, deburred, and torqued to Mitsubishi specification with a torque wrench",yesno,,yes,,No over-tightening. Torque values are per line size in the install manual.
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-pressure-test,Pressure test held at specified pressure with no loss,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-vacuum,Evacuated to 500 microns or below with a documented decay test,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-micron-reading,Final micron reading after decay test,measurement,microns,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-charge,"Additional refrigerant charge calculated for line length, weighed in, and recorded",yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-charge-amount,Additional charge added,measurement,oz,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-insulation,Both lines fully insulated with no gaps at fittings; outdoor insulation UV protected,yesno,,,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-line-support,"Line set supported, protected where it passes through framing, and free of kinks",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Line Set & Refrigerant,md-refrigerant,md-line-hide,"Exterior line hide installed neatly, sealed at the wall, and pitched to shed water",yesno,,,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-breaker,Breaker size and wire gauge match the equipment nameplate MCA and MOCP,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-disconnect,Disconnect installed within sight of the unit and properly labeled,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-whip,"Whip and conduit secured, weatherproof, with correct fittings and drip loops",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-grounding,Equipment grounded and bonded per code,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-comm-wiring,Communication wiring is the specified type and is not run in the same conduit as line voltage,yesno,,yes,,Mixing control and line voltage is the number one cause of nuisance comm errors.
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-terminations,"All terminations tight, correctly landed, and torqued; no exposed conductors",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-controller,"Thermostat or wall controller mounted at proper height, away from drafts and heat sources",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-kumo,"Interface commissioned, connected to Wi-Fi, and app access handed to the customer",yesno,,,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Electrical & Controls,md-electrical,md-dip-switches,"Dip switches and configuration settings set for this installation, not left at factory default",yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-ah-mount,"Air handler mounted level, isolated from structure, with full service access",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-plenums,Supply and return plenums sealed airtight to the cabinet,yesno,,,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-duct-sealing,All duct joints mechanically fastened and sealed with mastic,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-duct-insulation,Ducts in unconditioned space insulated to spec with sealed vapor barrier,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-filter-rack,"Filter rack accessible, gasketed, and filter size labeled",yesno,,,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-static,Total external static pressure measured and within the blower table limits,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-tesp,Total external static pressure,measurement,in. w.c.,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-airflow,Delivered airflow verified against design CFM; blower speed set accordingly,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-registers,"Registers and grilles installed, balanced, and every room gets measurable airflow",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-condensate,Primary drain trapped and sloped; secondary drain or float safety switch installed and tested,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Air Handler & Distribution,md-airhandler,md-condensate-test,Condensate system flow tested with water and safety switch proven to shut the unit down,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-heat-mode,System run in heating; discharge air temperature and operation verified,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-cool-mode,System run in cooling; discharge air temperature and operation verified,yesno,,yes,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-delta-t,Supply / return delta-T,measurement,°F,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-no-codes,No fault codes present after a full run in both modes,yesno,,yes,yes,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-defrost,Defrost operation explained to the customer so steam and noise are not alarming,yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-noise,"Indoor and outdoor noise levels acceptable; no rattles, buzzing, or resonance",yesno,,,,
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-backup-heat,Backup or auxiliary heat lockout and staging configured correctly,yesno,,yes,,A hyper-heat system that leans on strip heat at 35°F will destroy the operating cost promise.
Mitsubishi Ducted Hyper-Heat Heat Pump,mitsubishi-ducted,Startup & Performance,md-startup,md-startup-sheet,"Startup report completed, signed, and filed with the job",yesno,,,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-model-match,"Head models, capacities, and locations match the design and proposal",yesno,,yes,yes,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-backplate,"Mounting plate anchored to studs or solid backing, not drywall anchors alone",yesno,,yes,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-level,Head is level side to side and pitched per manufacturer for drainage,yesno,,yes,yes,A head that is out of level will weep condensate down the wall within a season.
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-clearances,"Clearance from ceiling, side walls, and furniture meets manufacturer minimums",yesno,,,,
Mitsubishi Ductless Hyper-Heat Heat Pump,mitsubishi-ductless,Indoor Heads,mdl-indoor,mdl-placement,Head placement gives good throw into the room and is not blocked by drapes or cabinetry,yesno,,,,
